Province,Start,End,Confirmed deaths,Suspected deaths,Probable deaths,Sources
Central Java,07/09/2020,13/09/2020,163,0,0,27
Yogyakarta,07/09/2020,13/09/2020,4,0,0,27
East Java,07/09/2020,13/09/2020,218,26,0,27
Banten,07/09/2020,13/09/2020,5,1,0,27
Jakarta,14/09/2020,20/09/2020,151,327,0,28
West Java,14/09/2020,20/09/2020,18,9,0,28
Central Java,14/09/2020,20/09/2020,127,0,0,28
Yogyakarta,14/09/2020,20/09/2020,8,0,0,28
East Java,14/09/2020,20/09/2020,202,34,0,28
Banten,14/09/2020,20/09/2020,14,0,0,28
Jakarta,21/09/2020,27/09/2020,131,339,0,29
West Java,21/09/2020,27/09/2020,70,0,0,29
Central Java,21/09/2020,27/09/2020,137,0,0,29
Yogyakarta,21/09/2020,27/09/2020,7,0,0,29
East Java,21/09/2020,27/09/2020,153,23,0,29
Banten,21/09/2020,27/09/2020,21,2,0,29
Jakarta,28/09/2020,04/10/2020,69,362,0,30
West Java,28/09/2020,04/10/2020,93,23,0,30
Central Java,28/09/2020,04/10/2020,91,0,0,30
Yogyakarta,28/09/2020,04/10/2020,10,0,0,30
East Java,28/09/2020,04/10/2020,162,37,0,30
Banten,28/09/2020,04/10/2020,18,0,0,30
Jakarta,05/10/2020,11/10/2020,140,301,0,31
West Java,05/10/2020,11/10/2020,50,34,0,31
Central Java,05/10/2020,11/10/2020,121,0,0,31
Yogyakarta,05/10/2020,11/10/2020,4,0,0,31
East Java,05/10/2020,11/10/2020,145,33,0,31
Banten,05/10/2020,11/10/2020,20,2,0,31
Jakarta,12/10/2020,18/10/2020,150,270,0,32
West Java,12/10/2020,18/10/2020,29,25,0,32
Central Java,12/10/2020,18/10/2020,146,0,0,32
Yogyakarta,12/10/2020,18/10/2020,7,0,0,32
East Java,12/10/2020,18/10/2020,119,36,0,32
Banten,12/10/2020,18/10/2020,32,4,0,32
Jakarta,19/10/2020,25/10/2020,113,171,0,33
West Java,19/10/2020,25/10/2020,120,29,0,33
Central Java,19/10/2020,25/10/2020,158,0,0,33
Yogyakarta,19/10/2020,25/10/2020,2,0,0,33
East Java,19/10/2020,25/10/2020,119,27,0,33
Banten,19/10/2020,25/10/2020,23,2,0,33
Jakarta,26/10/2020,01/11/2020,109,140,0,34
West Java,26/10/2020,01/11/2020,42,25,0,34
Central Java,26/10/2020,01/11/2020,168,0,0,34
Yogyakarta,26/10/2020,01/11/2020,5,0,0,34
East Java,26/10/2020,01/11/2020,105,19,0,34
Banten,26/10/2020,01/11/2020,16,6,0,34
Jakarta,02/11/2020,08/11/2020,93,134,0,35
West Java,02/11/2020,08/11/2020,41,21,0,35
Central Java,02/11/2020,08/11/2020,173,0,0,35
Yogyakarta,02/11/2020,08/11/2020,10,0,0,35
East Java,02/11/2020,08/11/2020,131,21,0,35
Banten,02/11/2020,08/11/2020,23,2,0,35
Jakarta,09/11/2020,15/11/2020,82,182,0,36
West Java,09/11/2020,15/11/2020,42,21,0,36
Central Java,09/11/2020,15/11/2020,224,0,0,36
Yogyakarta,09/11/2020,15/11/2020,9,0,0,36
East Java,09/11/2020,15/11/2020,124,30,0,36
Banten,09/11/2020,15/11/2020,14,2,0,36
Jakarta,16/11/2020,22/11/2020,83,201,0,36
West Java,16/11/2020,22/11/2020,62,98,0,36
Central Java,16/11/2020,22/11/2020,265,0,0,36
Yogyakarta,16/11/2020,22/11/2020,11,0,0,36
East Java,16/11/2020,22/11/2020,126,19,0,36
Banten,16/11/2020,22/11/2020,27,0,0,36
Jakarta,23/11/2020,29/11/2020,121,188,0,36
West Java,23/11/2020,29/11/2020,32,16,0,36
Central Java,23/11/2020,29/11/2020,363,0,0,36
Yogyakarta,23/11/2020,29/11/2020,22,0,0,36
East Java,23/11/2020,29/11/2020,226,31,0,36
Banten,23/11/2020,29/11/2020,31,3,0,36
